시군구,행정동,소계,1인가구 (가구),2인가구 (가구),3인가구 (가구),4인가구 (가구),5인가구 (가구),6인가구 (가구),7인이상가구 (가구),평균 가구원수 (명)
마포구,서교동,13887,8192,3033,1484,923,205,40,10,-
마포구,합정동,8280,3699,2318,1300,750,172,33,8,-
마포구,망원1동,9328,3829,2587,1521,1062,270,50,9,-
마포구,망원2동,7676,2398,2172,1513,1256,276,43,18,-
마포구,연남동,7948,4142,1905,1056,638,159,36,12,-
마포구,성산1동,8637,3506,2281,1508,1011,267,50,14,-
마포구,성산2동,17393,6694,4416,3173,2470,518,95,27,-
마포구,상암동,12053,3741,2719,2510,2379,601,85,18,-
마포구,도화동,8466,2610,2251,1849,1378,304,61,13,-
마포구,서강동,10845,4380,2521,2056,1537,287,53,11,-
마포구,공덕동,16526,6338,4328,3123,2165,461,91,20,-
마포구,아현동,9460,2269,2591,2549,1732,266,42,11,-
양천구,소계,166044,39436,43102,40503,34789,6743,1195,276,2.6
양천구,목1동,9943,1189,2066,3092,2999,490,88,19,-
양천구,목2동,12091,3752,3216,2652,1951,413,82,25,-
양천구,목3동,9181,2963,2625,1967,1321,230,62,13,-
양천구,목4동,9279,2280,2094,2230,2161,420,77,17,-
양천구,신월1동,9019,3273,2560,1768,1109,243,55,11,-
양천구,신월2동,7856,1749,2292,1926,1430,363,71,25,-
양천구,신월3동,7061,2877,1966,1163,787,215,42,11,-
양천구,신월4동,6464,1151,1780,1744,1414,288,75,12,-
양천구,신월5동,5813,1567,1670,1318,971,222,53,12,-
양천구,신월6동,4839,874,1365,1290,1074,202,31,X,-
양천구,신월7동,8315,2217,2793,1846,1175,234,39,11,-
양천구,신정1동,6673,929,1467,1772,2087,350,60,8,-
양천구,신정2동,6601,1148,1419,1707,1883,383,53,8,-
양천구,신정3동,16776,3582,4629,4035,3516,852,134,28,-
양천구,신정6동,7796,728,1755,2491,2386,374,51,11,-
양천구,신정7동,10910,2450,2881,2727,2385,399,51,17,-
양천구,목5동,12866,1185,2580,4057,4281,650,92,21,-
양천구,신정4동,14561,5522,3944,2718,1859,415,79,24,-
강서구,소계,244097,86172,65175,47721,35598,7673,1416,342,2.3
강서구,염창동,14685,2993,3449,3949,3541,632,99,22,-
강서구,등촌1동,11958,6021,2753,1739,1196,206,33,10,-
강서구,등촌2동,8112,2147,2279,1880,1412,321,51,22,-
강서구,등촌3동,14168,5335,4207,2638,1654,270,52,12,-
강서구,화곡본동,15070,5647,4170,2754,1946,460,75,18,-
강서구,화곡2동,7552,2322,2206,1605,1072,292,46,9,-
강서구,화곡3동,8378,2282,2433,1849,1360,353,78,23,-
강서구,화곡4동,8911,2969,2601,1797,1207,281,40,16,-
강서구,화곡6동,10793,4182,2846,1982,1407,297,68,11,-
강서구,화곡8동,10639,3346,3343,2167,1411,299,58,15,-
강서구,가양1동,18538,11023,3431,2146,1535,325,64,14,-
강서구,가양2동,7529,3623,2274,1027,470,106,23,6,-
강서구,가양3동,7457,2925,2553,1289,551,117,22,X,-
강서구,발산1동,12733,2152,3244,3204,3239,740,123,31,-
강서구,공항동,11435,4329,2906,2118,1618,376,78,10,-
강서구,방화1동,16186,3791,4239,3807,3347,833,139,30,-
강서구,방화2동,10212,4206,2791,1722,1111,290,76,16,-
강서구,방화3동,10364,3815,3142,1898,1191,253,49,16,-
강서구,화곡1동,24434,10238,6761,4277,2502,514,114,28,-
강서구,우장산동,14943,2826,3547,3873,3828,708,128,33,-
구로구,소계,164083,50971,45518,34645,25747,5756,1160,286,2.4
구로구,신도림동,12727,2324,3286,3478,2969,552,100,18,-
구로구,구로1동,7913,1822,2079,1929,1707,308,61,7,-
구로구,구로3동,12041,6197,2625,1688,1198,261,49,23,-
구로구,구로4동,9426,3764,2750,1681,984,195,37,15,-
구로구,구로5동,13234,5350,3468,2366,1612,344,75,19,-
구로구,고척1동,8802,2216,2481,1992,1683,342,77,11,-
구로구,고척2동,10676,2916,2989,2341,1919,395,94,22,-
구로구,개봉2동,11718,2373,3521,3004,2208,480,110,22,-
구로구,개봉3동,8073,1860,2565,1944,1340,294,58,12,-
구로구,오류1동,10547,4624,2786,1710,1094,263,48,22,-
구로구,오류2동,14360,3258,4256,3141,2767,770,136,32,-
구로구,수궁동,9087,2086,2881,2188,1463,362,85,22,-
구로구,가리봉동,4901,2849,1168,518,275,70,15,6,-
구로구,구로2동,11189,4383,3239,2021,1134,318,75,19,-
구로구,개봉1동,13401,3591,4018,3040,2106,521,99,26,-
구로구,항동,5988,1358,1406,1604,1288,281,41,10,-
금천구,소계,103432,42334,26331,18226,12863,2913,592,173,2.1
금천구,가산동,14124,9775,2339,1133,684,156,30,7,-
금천구,독산1동,19691,8983,4434,3212,2431,513,82,36,-
금천구,독산2동,8408,3209,2287,1595,1024,228,52,13,-
금천구,독산3동,11071,4413,3038,2024,1241,271,62,22,-
금천구,독산4동,6858,2608,1868,1270,854,202,44,12,-
금천구,시흥1동,14439,5285,3873,2758,1987,431,78,27,-
금천구,시흥2동,7825,1592,2272,1872,1586,386,100,17,-
금천구,시흥3동,4372,1142,1372,978,684,167,25,X,-
금천구,시흥4동,8304,2417,2427,1782,1297,294,67,20,-
금천구,시흥5동,8340,2910,2421,1602,1075,265,52,15,-
영등포구,소계,162391,64000,40926,30371,21651,4321,916,206,2.2
영등포구,여의동,11936,2672,3355,3038,2293,451,102,25,-
영등포구,당산1동,9508,4125,2441,1660,1001,214,57,10,-
영등포구,당산2동,16748,7461,3698,2913,2181,387,88,20,-
영등포구,양평1동,8237,3721,2154,1336,816,162,39,9,-
영등포구,양평2동,9434,3391,2423,1889,1415,263,45,8,-
영등포구,신길1동,9096,4995,2004,1164,715,172,35,11,-
영등포구,신길3동,6861,2205,1825,1484,1076,228,36,7,-
영등포구,신길4동,4267,1475,1187,863,594,124,20,X,-
영등포구,신길5동,4422,1386,1227,950,677,149,28,5,-
영등포구,신길6동,7618,2980,1967,1480,938,197,40,16,-
영등포구,신길7동,7222,1599,1843,1797,1615,302,60,6,-
영등포구,대림1동,6331,2269,1760,1217,869,169,39,8,-
영등포구,대림2동,6066,2783,1658,941,527,109,36,12,-
영등포구,대림3동,9510,2970,2771,2030,1359,288,78,14,-
영등포구,영등포본동,8942,3226,2257,1781,1335,284,42,17,-
영등포구,영등포동,15539,10170,2843,1444,865,173,34,10,-
영등포구,도림동,8474,3625,2297,1405,886,207,44,10,-
영등포구,문래동,12180,2947,3216,2979,2489,442,93,14,-
동작구,소계,167766,64101,41489,31918,23829,5153,1044,232,2.2
동작구,노량진2동,6087,3064,1523,836,502,132,28,X,-
동작구,상도1동,20167,8604,4448,3680,2764,554,92,25,-
동작구,상도2동,11504,4013,2877,2327,1823,379,70,15,-
동작구,상도3동,10902,4214,2847,2004,1421,319,75,22,-
동작구,상도4동,12480,4618,3266,2405,1712,385,75,19,-
동작구,사당1동,12050,6345,2892,1571,976,216,37,13,-
동작구,사당3동,9522,2583,2578,2244,1674,351,74,18,-
동작구,사당4동,6514,2651,1680,1155,826,168,30,X,-
동작구,사당5동,6092,2007,1639,1330,892,178,41,5,-
동작구,대방동,16071,6011,3524,3083,2746,573,107,27,-
동작구,신대방1동,9439,3128,2203,1920,1732,361,81,14,-
동작구,신대방2동,8792,3672,1943,1513,1278,303,67,16,-
동작구,흑석동,13411,4562,3299,2886,2082,459,108,15,-
동작구,노량진1동,14048,5604,3562,2550,1803,418,89,22,-
동작구,사당2동,10687,3025,3208,2414,1598,357,70,15,-
관악구,소계,248959,129233,56162,33671,23251,5263,1130,249,1.9
관악구,보라매동,11517,5182,2885,1806,1274,298,65,7,-
관악구,청림동,5928,1403,1805,1466,998,189,53,14,-
관악구,행운동,16390,9674,3386,1807,1170,285,61,7,-
관악구,낙성대동,9831,6341,1856,894,556,148,27,9,-
관악구,중앙동,8882,5565,1798,827,530,133,22,7,-
관악구,인헌동,13186,6776,2981,1797,1273,295,46,18,-
관악구,남현동,8579,3855,2226,1348,901,197,40,12,-
관악구,서원동,12921,7607,2949,1388,742,176,49,10,-
관악구,신원동,9916,5505,2382,1137,720,130,34,8,-
관악구,서림동,12967,7735,2661,1391,891,228,44,17,-
관악구,신사동,12500,7282,2547,1487,942,185,43,14,-
관악구,신림동,15529,11942,2439,714,334,81,16,X,-
관악구,난향동,5737,1354,1594,1336,1100,263,73,17,-
관악구,조원동,9537,5581,2004,1053,696,165,33,5,-
관악구,대학동,14109,9718,2197,1239,734,172,43,6,-
관악구,은천동,14837,5723,3860,2668,2015,439,113,19,-
관악구,성현동,11561,3082,3139,2637,2151,458,82,12,-
관악구,청룡동,20739,13435,3771,1841,1351,284,43,14,-
관악구,난곡동,11724,4155,3289,2262,1575,335,88,20,-
관악구,삼성동,9806,3132,2935,1958,1368,336,64,13,-
관악구,미성동,12763,4186,3458,2615,1930,466,91,17,-
서초구,소계,156123,43942,38867,34840,30091,6593,1412,378,2.5
서초구,서초1동,8498,3203,2036,1600,1271,277,89,22,-
서초구,서초2동,8331,3238,1950,1572,1261,237,55,18,-
서초구,서초3동,12928,4851,3292,2424,1823,411,97,30,-
서초구,서초4동,10007,1529,2260,2724,2864,513,94,23,-
서초구,잠원동,10352,2809,2363,2511,2195,387,65,22,-
서초구,반포본동,3601,354,938,1049,1022,184,50,X,-
서초구,반포1동,12977,5087,2498,2408,2337,504,109,34,-
서초구,반포2동,4591,314,924,1323,1561,386,72,11,-
서초구,반포3동,7036,910,1671,2105,1928,354,56,12,-
서초구,반포4동,6404,1110,1685,1785,1411,326,68,19,-
서초구,방배본동,7308,1683,1779,1724,1651,372,81,18,-
서초구,방배1동,6973,2318,1952,1404,1013,222,46,18,-
서초구,방배2동,7708,2182,2265,1675,1223,289,59,15,-
서초구,방배3동,7407,1472,2128,1909,1519,293,65,21,-
서초구,방배4동,8917,2585,2243,1904,1714,375,72,24,-
서초구,양재1동,16746,4776,4394,3568,2881,883,194,50,-
서초구,양재2동,9715,3938,2522,1618,1256,304,60,17,-
서초구,내곡동,6624,1583,1967,1537,1161,276,80,20,-
강남구,소계,208833,68999,51531,42703,36286,7517,1436,361,2.4
강남구,신사동,6407,2047,1744,1343,986,219,52,16,-
강남구,논현1동,12277,7121,2983,1242,705,175,39,12,-
강남구,논현2동,10079,4618,2608,1590,996,199,56,12,-
강남구,삼성1동,4975,1433,1380,1078,824,211,34,15,-
강남구,삼성2동,11869,4236,2765,2329,2043,389,88,19,-
강남구,대치1동,6986,350,1147,2101,2760,520,83,25,-
강남구,대치4동,9237,4269,2117,1450,1111,231,51,8,-
강남구,역삼1동,20356,12735,4551,1763,995,244,50,18,-
강남구,역삼2동,13846,4735,2712,2924,2837,525,94,19,-
강남구,도곡1동,7782,1872,1871,1933,1707,310,69,20,-
강남구,도곡2동,10773,1408,2676,3076,2961,551,85,16,-
강남구,개포1동,2328,550,654,528,474,95,23,X,-
강남구,개포4동,7798,2280,2095,1717,1371,273,49,13,-
강남구,일원본동,7486,923,1765,2119,2196,411,60,12,-
강남구,일원1동,6789,2631,1839,1214,846,196,52,11,-
강남구,일원2동,6874,1927,1899,1611,1205,206,24,X,-
강남구,수서동,7377,3083,2453,1141,544,128,23,5,-
강남구,세곡동,16739,4891,4233,3376,3042,933,204,60,-
강남구,압구정동,9202,1822,2676,2384,1817,404,79,20,-
강남구,청담동,10254,3203,2715,2211,1628,384,87,26,-
강남구,대치2동,11972,1807,2567,3426,3446,623,85,18,-
강남구,개포2동,7427,1058,2081,2147,1792,290,49,10,-
송파구,소계,255766,73694,66503,57189,46703,9457,1803,417,2.5
송파구,풍납1동,5776,1869,1655,1172,854,171,45,10,-
송파구,풍납2동,9807,2880,2485,2345,1672,338,75,12,-
송파구,거여1동,5022,1396,1455,1096,848,172,39,16,-
송파구,거여2동,6811,1883,2056,1516,1081,231,34,10,-
송파구,마천1동,7899,2403,2291,1607,1164,354,60,20,-
송파구,마천2동,7786,2296,2385,1656,1104,265,62,18,-
송파구,방이1동,5752,1381,1383,1386,1275,251,60,16,-
송파구,방이2동,13074,6641,3137,1826,1177,232,53,8,-
송파구,오륜동,5498,361,1269,1745,1705,359,48,11,-
송파구,오금동,14344,3077,4095,3616,2799,605,128,24,-
송파구,송파1동,11283,4706,3041,1898,1263,304,57,14,-
송파구,송파2동,6985,1242,1808,1833,1693,340,59,10,-
송파구,석촌동,15316,6716,4047,2511,1609,333,78,22,-
송파구,삼전동,14526,6327,3740,2417,1613,350,61,18,-
송파구,가락본동,10576,3173,2907,2292,1737,387,63,17,-
송파구,가락1동,9534,1255,2791,2785,2281,355,59,8,-
송파구,가락2동,11482,2272,2817,3087,2716,468,98,24,-
송파구,문정1동,7854,2134,2103,1754,1499,284,63,17,-
송파구,문정2동,14590,7515,3321,1991,1440,251,58,14,-
송파구,장지동,11408,2747,3237,2729,2106,486,92,11,-
송파구,위례동,9041,1037,1943,2502,2715,697,122,25,-
송파구,잠실본동,13850,6559,3414,2123,1391,296,53,14,-
송파구,잠실4동,6766,669,1573,2129,1988,335,58,14,-
송파구,잠실6동,5446,577,1523,1617,1359,285,67,18,-
송파구,잠실7동,3156,302,980,961,739,147,21,6,-
송파구,잠실2동,10998,1160,2117,3152,3848,598,105,18,-
송파구,잠실3동,11186,1116,2930,3443,3027,563,85,22,-
강동구,소계,177148,50316,47740,39449,31456,6659,1242,286,2.4
강동구,강일동,11277,2081,3046,2542,2572,861,150,25,-
강동구,상일동,10984,1441,2834,3130,2938,555,77,9,-
강동구,명일1동,9315,1698,2646,2523,2001,371,64,12,-
강동구,명일2동,5536,763,1238,1511,1638,317,53,16,-
강동구,고덕1동,8352,1143,1701,2416,2546,450,80,16,-
강동구,고덕2동,8108,1730,2175,2093,1770,291,45,X,-
강동구,암사2동,5903,1481,1671,1452,1040,214,39,6,-
강동구,암사3동,5881,707,1488,1698,1580,336,52,20,-
강동구,천호1동,11401,3749,3350,2323,1546,343,80,10,-
강동구,천호3동,12312,5205,3444,2034,1283,267,63,16,-
강동구,성내1동,7513,1808,2038,1894,1433,273,51,16,-
강동구,성내2동,11418,5143,3028,1845,1081,247,63,11,-
강동구,성내3동,9554,3134,2613,1976,1442,318,54,17,-
강동구,둔촌1동,13,6,X,X,X,X,X,X,-
강동구,둔촌2동,9940,2389,2763,2407,1924,380,61,16,-
강동구,암사1동,14431,4551,4008,3064,2229,464,89,26,-
강동구,천호2동,15701,6378,4433,2689,1710,380,84,27,-
강동구,길동,19509,6909,5261,3850,2722,592,136,39,-
