fid,행정동명,행정동코드,NUMPOINTS
"1",종로구 사직동,1101053,7
"2",종로구 삼청동,1101054,1
"3",종로구 부암동,1101055,1
"4",종로구 평창동,1101056,7
"5",종로구 무악동,1101057,3
"6",종로구 교남동,1101058,4
"7",종로구 가회동,1101060,1
"8",종로구 종로1.2.3.4가동,1101061,6
"9",종로구 종로5.6가동,1101063,3
"10",종로구 이화동,1101064,1
"11",종로구 창신1동,1101067,0
"12",종로구 창신2동,1101068,1
"13",종로구 창신3동,1101069,2
"14",종로구 숭인1동,1101070,1
"15",종로구 숭인2동,1101071,1
"16",종로구 청운효자동,1101072,2
"17",종로구 혜화동,1101073,3
"18",중구 소공동,1102052,6
"19",중구 회현동,1102054,0
"20",중구 명동,1102055,10
"21",중구 필동,1102057,0
"22",중구 장충동,1102058,0
"23",중구 광희동,1102059,4
"24",중구 을지로동,1102060,1
"25",중구 신당5동,1102065,5
"26",중구 황학동,1102067,1
"27",중구 중림동,1102068,6
"28",중구 신당동,1102069,0
"29",중구 다산동,1102070,3
"30",중구 약수동,1102071,0
"31",중구 청구동,1102072,1
"32",중구 동화동,1102073,2
"33",용산구 후암동,1103051,2
"34",용산구 용산2가동,1103052,0
"35",용산구 남영동,1103053,3
"36",용산구 원효로2동,1103057,2
"37",용산구 효창동,1103058,5
"38",용산구 용문동,1103059,1
"39",용산구 이촌1동,1103063,9
"40",용산구 이촌2동,1103064,1
"41",용산구 이태원1동,1103065,2
"42",용산구 이태원2동,1103066,3
"43",용산구 서빙고동,1103069,1
"44",용산구 보광동,1103070,0
"45",용산구 청파동,1103071,3
"46",용산구 원효로1동,1103072,5
"47",용산구 한강로동,1103073,8
"48",용산구 한남동,1103074,3
"49",성동구 왕십리2동,1104052,4
"50",성동구 마장동,1104054,4
"51",성동구 사근동,1104055,2
"52",성동구 행당1동,1104056,0
"53",성동구 행당2동,1104057,4
"54",성동구 응봉동,1104058,3
"55",성동구 금호1가동,1104059,0
"56",성동구 금호4가동,1104062,1
"57",성동구 성수1가1동,1104065,2
"58",성동구 성수1가2동,1104066,2
"59",성동구 성수2가1동,1104067,2
"60",성동구 성수2가3동,1104068,6
"61",성동구 송정동,1104069,2
"62",성동구 용답동,1104070,1
"63",성동구 왕십리도선동,1104071,7
"64",성동구 금호2.3가동,1104072,4
"65",성동구 옥수동,1104073,3
"66",광진구 화양동,1105053,5
"67",광진구 군자동,1105054,2
"68",광진구 중곡1동,1105055,1
"69",광진구 중곡2동,1105056,2
"70",광진구 중곡3동,1105057,2
"71",광진구 중곡4동,1105058,2
"72",광진구 능동,1105059,2
"73",광진구 구의1동,1105060,1
"74",광진구 구의2동,1105061,2
"75",광진구 구의3동,1105062,7
"76",광진구 광장동,1105063,2
"77",광진구 자양1동,1105064,4
"78",광진구 자양2동,1105065,3
"79",광진구 자양3동,1105066,3
"80",광진구 자양4동,1105067,5
"81",동대문구 회기동,1106071,1
"82",동대문구 휘경1동,1106072,2
"83",동대문구 휘경2동,1106073,4
"84",동대문구 청량리동,1106080,2
"85",동대문구 용신동,1106081,7
"86",동대문구 전농1동,1106083,3
"87",동대문구 전농2동,1106084,2
"88",동대문구 답십리2동,1106086,3
"89",동대문구 장안1동,1106087,7
"90",동대문구 장안2동,1106088,7
"91",동대문구 이문1동,1106089,1
"92",동대문구 이문2동,1106090,0
"93",동대문구 답십리1동,1106091,4
"94",중랑구 면목2동,1107052,3
"95",중랑구 면목4동,1107054,2
"96",중랑구 면목5동,1107055,1
"97",중랑구 면목7동,1107057,0
"98",중랑구 상봉1동,1107059,1
"99",중랑구 상봉2동,1107060,3
"100",중랑구 중화1동,1107061,2
"101",중랑구 중화2동,1107062,4
"102",중랑구 묵1동,1107064,7
"103",중랑구 묵2동,1107065,1
"104",중랑구 망우3동,1107068,3
"105",중랑구 신내1동,1107069,7
"106",중랑구 신내2동,1107070,4
"107",중랑구 면목본동,1107071,7
"108",중랑구 면목3.8동,1107072,4
"109",중랑구 망우본동,1107073,6
"110",성북구 돈암1동,1108058,3
"111",성북구 돈암2동,1108059,0
"112",성북구 보문동,1108061,4
"113",성북구 정릉1동,1108062,1
"114",성북구 정릉2동,1108063,1
"115",성북구 정릉3동,1108064,0
"116",성북구 정릉4동,1108065,2
"117",성북구 길음1동,1108066,9
"118",성북구 길음2동,1108068,3
"119",성북구 월곡1동,1108071,5
"120",성북구 월곡2동,1108072,3
"121",성북구 장위1동,1108076,1
"122",성북구 장위2동,1108077,1
"123",성북구 장위3동,1108078,1
"124",성북구 성북동,1108081,2
"125",성북구 삼선동,1108082,4
"126",성북구 동선동,1108083,0
"127",성북구 석관동,1108085,5
"128",강북구 번1동,1109060,3
"129",강북구 번2동,1109061,4
"130",강북구 번3동,1109062,5
"131",강북구 수유1동,1109063,3
"132",강북구 수유2동,1109064,3
"133",강북구 수유3동,1109065,6
"134",강북구 삼양동,1109069,7
"135",강북구 미아동,1109070,5
"136",강북구 송중동,1109071,8
"137",강북구 송천동,1109072,2
"138",강북구 삼각산동,1109073,6
"139",강북구 우이동,1109074,3
"140",강북구 인수동,1109075,3
"141",도봉구 쌍문1동,1110051,3
"142",도봉구 쌍문2동,1110052,2
"143",도봉구 쌍문3동,1110053,3
"144",도봉구 쌍문4동,1110054,3
"145",도봉구 방학1동,1110055,9
"146",도봉구 방학2동,1110056,5
"147",도봉구 방학3동,1110057,4
"148",도봉구 창1동,1110059,7
"149",도봉구 창2동,1110060,5
"150",도봉구 창3동,1110061,3
"151",도봉구 창4동,1110062,6
"152",도봉구 창5동,1110063,3
"153",도봉구 도봉1동,1110064,11
"154",도봉구 도봉2동,1110065,7
"155",노원구 월계1동,1111051,9
"156",노원구 월계2동,1111052,9
"157",노원구 월계3동,1111053,2
"158",노원구 공릉2동,1111056,12
"159",노원구 하계1동,1111058,8
"160",노원구 하계2동,1111059,3
"161",노원구 중계본동,1111060,6
"162",노원구 중계1동,1111061,6
"163",노원구 중계4동,1111064,5
"164",노원구 상계1동,1111065,12
"165",노원구 상계2동,1111066,6
"166",노원구 상계5동,1111069,11
"167",노원구 상계8동,1111072,7
"168",노원구 상계9동,1111073,6
"169",노원구 상계10동,1111074,5
"170",노원구 상계3.4동,1111076,9
"171",노원구 상계6.7동,1111077,13
"172",노원구 중계2.3동,1111078,5
"173",노원구 공릉1동,1111079,11
"174",은평구 녹번동,1112051,12
"175",은평구 불광1동,1112052,10
"176",은평구 갈현1동,1112055,4
"177",은평구 갈현2동,1112056,4
"178",은평구 구산동,1112057,9
"179",은평구 대조동,1112058,4
"180",은평구 응암1동,1112059,5
"181",은평구 응암2동,1112060,6
"182",은평구 신사1동,1112065,3
"183",은평구 신사2동,1112066,7
"184",은평구 증산동,1112067,2
"185",은평구 수색동,1112068,1
"186",은평구 진관동,1112071,18
"187",은평구 불광2동,1112072,5
"188",은평구 응암3동,1112073,3
"189",은평구 역촌동,1112074,7
"190",서대문구 천연동,1113052,2
"191",서대문구 홍제1동,1113062,4
"192",서대문구 홍제3동,1113064,4
"193",서대문구 홍제2동,1113065,0
"194",서대문구 홍은1동,1113066,4
"195",서대문구 홍은2동,1113068,5
"196",서대문구 남가좌1동,1113069,4
"197",서대문구 남가좌2동,1113070,6
"198",서대문구 북가좌1동,1113071,2
"199",서대문구 북가좌2동,1113072,5
"200",서대문구 충현동,1113073,2
"201",서대문구 북아현동,1113074,5
"202",서대문구 신촌동,1113075,4
"203",서대문구 연희동,1113076,9
"204",마포구 용강동,1114059,6
"205",마포구 대흥동,1114060,4
"206",마포구 염리동,1114061,2
"207",마포구 신수동,1114063,5
"208",마포구 서교동,1114066,7
"209",마포구 합정동,1114068,3
"210",마포구 망원1동,1114069,3
"211",마포구 망원2동,1114070,2
"212",마포구 연남동,1114071,2
"213",마포구 성산1동,1114072,4
"214",마포구 성산2동,1114073,10
"215",마포구 상암동,1114074,17
"216",마포구 도화동,1114075,2
"217",마포구 서강동,1114076,8
"218",마포구 공덕동,1114077,4
"219",마포구 아현동,1114078,5
"220",양천구 목1동,1115051,2
"221",양천구 목2동,1115052,3
"222",양천구 목3동,1115053,4
"223",양천구 목4동,1115054,4
"224",양천구 신월1동,1115057,5
"225",양천구 신월2동,1115058,3
"226",양천구 신월3동,1115059,2
"227",양천구 신월4동,1115060,5
"228",양천구 신월5동,1115061,4
"229",양천구 신월6동,1115062,2
"230",양천구 신월7동,1115063,8
"231",양천구 신정1동,1115064,7
"232",양천구 신정2동,1115065,2
"233",양천구 신정3동,1115066,14
"234",양천구 신정6동,1115069,7
"235",양천구 신정7동,1115070,5
"236",양천구 목5동,1115071,9
"237",양천구 신정4동,1115072,10
"238",강서구 염창동,1116051,6
"239",강서구 등촌1동,1116052,4
"240",강서구 등촌2동,1116053,1
"241",강서구 등촌3동,1116054,11
"242",강서구 화곡본동,1116055,13
"243",강서구 화곡2동,1116057,3
"244",강서구 화곡3동,1116058,6
"245",강서구 화곡4동,1116059,6
"246",강서구 화곡6동,1116061,5
"247",강서구 화곡8동,1116063,5
"248",강서구 가양1동,1116064,15
"249",강서구 가양2동,1116065,4
"250",강서구 가양3동,1116066,4
"251",강서구 발산1동,1116067,10
"252",강서구 공항동,1116069,6
"253",강서구 방화1동,1116070,13
"254",강서구 방화2동,1116071,8
"255",강서구 방화3동,1116072,10
"256",강서구 화곡1동,1116073,11
"257",강서구 우장산동,1116074,10
"258",구로구 신도림동,1117051,3
"259",구로구 구로1동,1117052,0
"260",구로구 구로3동,1117054,2
"261",구로구 구로4동,1117055,2
"262",구로구 구로5동,1117056,4
"263",구로구 고척1동,1117061,3
"264",구로구 고척2동,1117062,7
"265",구로구 개봉2동,1117064,1
"266",구로구 개봉3동,1117065,5
"267",구로구 오류1동,1117067,4
"268",구로구 오류2동,1117068,16
"269",구로구 수궁동,1117069,8
"270",구로구 가리봉동,1117070,0
"271",구로구 구로2동,1117071,3
"272",구로구 개봉1동,1117072,3
"273",금천구 가산동,1118051,3
"274",금천구 독산1동,1118052,8
"275",금천구 독산2동,1118053,6
"276",금천구 독산3동,1118054,6
"277",금천구 독산4동,1118055,5
"278",금천구 시흥1동,1118057,6
"279",금천구 시흥2동,1118058,0
"280",금천구 시흥3동,1118059,7
"281",금천구 시흥4동,1118060,8
"282",금천구 시흥5동,1118061,3
"283",영등포구 여의동,1119054,3
"284",영등포구 당산1동,1119055,1
"285",영등포구 당산2동,1119056,9
"286",영등포구 양평1동,1119061,1
"287",영등포구 양평2동,1119062,1
"288",영등포구 신길1동,1119063,2
"289",영등포구 신길3동,1119065,2
"290",영등포구 신길4동,1119066,0
"291",영등포구 신길5동,1119067,3
"292",영등포구 신길6동,1119068,3
"293",영등포구 신길7동,1119069,3
"294",영등포구 대림1동,1119070,3
"295",영등포구 대림2동,1119071,1
"296",영등포구 대림3동,1119072,5
"297",영등포구 영등포본동,1119073,2
"298",영등포구 영등포동,1119074,4
"299",영등포구 도림동,1119075,2
"300",영등포구 문래동,1119076,5
"301",동작구 노량진2동,1120052,1
"302",동작구 상도1동,1120053,4
"303",동작구 상도2동,1120054,7
"304",동작구 상도3동,1120055,5
"305",동작구 상도4동,1120056,1
"306",동작구 사당1동,1120063,2
"307",동작구 사당3동,1120065,4
"308",동작구 사당4동,1120066,5
"309",동작구 사당5동,1120067,5
"310",동작구 대방동,1120068,2
"311",동작구 신대방1동,1120069,4
"312",동작구 신대방2동,1120070,0
"313",동작구 흑석동,1120071,6
"314",동작구 노량진1동,1120072,4
"315",동작구 사당2동,1120073,2
"316",관악구 보라매동,1121052,4
"317",관악구 청림동,1121054,0
"318",관악구 행운동,1121057,4
"319",관악구 낙성대동,1121058,3
"320",관악구 중앙동,1121061,0
"321",관악구 인헌동,1121062,4
"322",관악구 남현동,1121063,6
"323",관악구 서원동,1121064,3
"324",관악구 신원동,1121065,1
"325",관악구 서림동,1121066,4
"326",관악구 신사동,1121068,1
"327",관악구 신림동,1121069,2
"328",관악구 난향동,1121071,1
"329",관악구 조원동,1121072,1
"330",관악구 대학동,1121073,6
"331",관악구 은천동,1121078,3
"332",관악구 성현동,1121079,0
"333",관악구 청룡동,1121080,6
"334",관악구 난곡동,1121081,4
"335",관악구 삼성동,1121082,3
"336",관악구 미성동,1121083,6
"337",서초구 서초1동,1122051,3
"338",서초구 서초2동,1122052,6
"339",서초구 서초3동,1122053,9
"340",서초구 서초4동,1122054,3
"341",서초구 잠원동,1122055,7
"342",서초구 반포본동,1122056,1
"343",서초구 반포1동,1122057,4
"344",서초구 반포2동,1122058,3
"345",서초구 반포3동,1122059,9
"346",서초구 반포4동,1122060,4
"347",서초구 방배본동,1122061,1
"348",서초구 방배1동,1122062,4
"349",서초구 방배2동,1122063,7
"350",서초구 방배3동,1122064,9
"351",서초구 방배4동,1122065,2
"352",서초구 양재1동,1122066,25
"353",서초구 양재2동,1122067,19
"354",서초구 내곡동,1122068,19
"355",강남구 신사동,1123051,3
"356",강남구 논현1동,1123052,6
"357",강남구 논현2동,1123053,3
"358",강남구 삼성1동,1123058,3
"359",강남구 삼성2동,1123059,5
"360",강남구 대치1동,1123060,6
"361",강남구 대치4동,1123063,2
"362",강남구 역삼1동,1123064,7
"363",강남구 역삼2동,1123065,11
"364",강남구 도곡1동,1123066,2
"365",강남구 도곡2동,1123067,7
"366",강남구 개포1동,1123068,1
"367",강남구 개포4동,1123071,4
"368",강남구 일원본동,1123072,12
"369",강남구 일원1동,1123073,3
"370",강남구 일원2동,1123074,5
"371",강남구 수서동,1123075,7
"372",강남구 세곡동,1123076,23
"373",강남구 압구정동,1123077,7
"374",강남구 청담동,1123078,4
"375",강남구 대치2동,1123079,1
"376",강남구 개포2동,1123080,9
"377",송파구 풍납1동,1124051,2
"378",송파구 풍납2동,1124052,3
"379",송파구 거여1동,1124053,6
"380",송파구 거여2동,1124054,5
"381",송파구 마천1동,1124055,11
"382",송파구 마천2동,1124056,6
"383",송파구 방이1동,1124057,4
"384",송파구 방이2동,1124058,6
"385",송파구 오륜동,1124059,1
"386",송파구 오금동,1124060,14
"387",송파구 송파1동,1124061,5
"388",송파구 송파2동,1124062,4
"389",송파구 석촌동,1124063,5
"390",송파구 삼전동,1124064,7
"391",송파구 가락본동,1124065,9
"392",송파구 가락1동,1124066,2
"393",송파구 가락2동,1124067,8
"394",송파구 문정1동,1124068,3
"395",송파구 문정2동,1124069,8
"396",송파구 잠실본동,1124071,5
"397",송파구 잠실4동,1124075,3
"398",송파구 잠실6동,1124077,4
"399",송파구 잠실7동,1124078,1
"400",송파구 잠실2동,1124079,1
"401",송파구 잠실3동,1124080,4
"402",송파구 장지동,1124081,11
"403",송파구 위례동,1124082,2
"404",강동구 강일동,1125051,8
"405",강동구 상일동,1125052,8
"406",강동구 명일1동,1125053,8
"407",강동구 명일2동,1125054,2
"408",강동구 고덕1동,1125055,6
"409",강동구 고덕2동,1125056,6
"410",강동구 암사2동,1125058,2
"411",강동구 암사3동,1125059,4
"412",강동구 천호1동,1125061,5
"413",강동구 천호3동,1125063,2
"414",강동구 성내1동,1125065,3
"415",강동구 성내3동,1125067,3
"416",강동구 둔촌1동,1125070,0
"417",강동구 둔촌2동,1125071,2
"418",강동구 암사1동,1125072,4
"419",강동구 길동,1125074,4
"420",강동구 성내2동,1125066,1
"421",강동구 천호2동,1125073,6
"422",동대문구 제기동,1106082,2
"423",성북구 안암동,1108060,1
"424",성북구 종암동,1108084,5
